"receipt_no","sale_time"
"#07122-050","10:45"
"#58246-591","10:45"
"#43154-369","11:38"
"#28466-403","14:30"
"#65358-539","15:00"
"#53112-843","15:32"
"#59085-934","16:10"
"#08419-950","20:35"
"#47078-381","20:33"
"#30537-598","10:00"
"#65376-903","15:50"
"#13713-661","16:58"
"#36555-200","18:58"
"#51608-463","19:15"
"#59132-219","20:15"
"#53079-947","14:35"
"#76796-764","14:40"
"#52463-998","15:30"
"#71740-624","16:36"
"#78521-021","17:25"
"#41891-621","17:50"
"#27706-621","19:30"
"#94317-094","19:35"
"#63417-730","20:50"
"#85219-195","10:40"
"#61582-874","11:20"
"#80002-836","16:05"
"#71816-971","16:35"
"#27042-907","17:30"
"#88503-365","19:45"
"#57725-554","20:17"
"#05720-725","11:10"
"#90919-659","11:50"
"#40499-861","12:11"
"#66336-129","12:45"
"#75101-335","13:15"
"#19443-574","14:30"
"#02316-173","15:25"
"#63783-475","16:25"
"#10466-403","16:45"
"#64666-325","16:54"
"#47156-518","19:10"
"#36682-063","19:50"
"#13358-252","20:00"
"#33711-976","11:10"
"#23342-805","12:15"
"#23299-605","13:00"
"#17307-449","13:05"
"#75766-727","13:35"
"#74158-007","13:55"
"#82756-004","15:30"
"#06561-454","16:55"
"#05281-472","18:18"
"#02955-457","18:45"
"#77538-843","19:35"
"#56393-525","19:36"
"#16507-978","20:00"
"#67637-679","20:30"
"#96557-494","11:50"
"#92449-330","11:55"
"#50939-182","12:05"
"#92049-463","12:25"
"#95639-283","13:15"
"#02905-928","13:45"
"#02477-631","14:30"
"#44777-863","15:20"
"#78181-813","17:55"
"#67428-070","18:10"
"#83198-366","19:20"
"#05831-024","20:00"
"#66081-645","20:30"
"#74309-463","20:56"
"#36646-707","12:17"
"#59132-427","15:00"
"#74641-908","15:45"
"#95883-221","16:14"
"#26787-724","16:35"
"#07428-771","18:30"
"#31332-138","20:10"
"#56182-943","20:30"
"#54993-630","13:30"
"#58343-644","13:55"
"#15104-129","14:15"
"#83563-224","17:00"
"#89246-397","17:45"
"#42922-300","17:50"
"#53665-458","18:10"
"#88836-834","19:06"
"#73744-610","19:06"
"#33522-790","19:20"
"#88517-793","20:45"
"#36594-249","12:05"
"#94004-649","13:15"
"#98473-609","14:36"
"#12335-796","15:15"
"#12126-461","16:05"
"#74786-354","16:06"
"#26317-131","16:10"
"#27045-247","16:48"
"#23026-924","18:10"
"#22500-705","18:50"
"#33724-450","19:25"
"#06028-922","20:00"
"#68386-058","10:21"
"#01781-316","11:37"
"#69582-426","14:00"
"#08473-871","16:01"
"#18904-948","19:42"
"#43027-054","20:00"
"#26285-140","10:15"
"#62982-030","12:40"
"#44247-782","14:35"
"#71053-145","14:53"
"#99344-308","14:58"
"#57520-020","15:01"
"#65266-183","16:08"
"#95436-820","16:35"
"#13672-731","17:20"
"#29597-848","17:50"
"#53469-041","17:55"
"#47302-472","18:42"
"#76607-346","17:55"
"#21242-539","20:10"
"#93735-744","21:15"
"#33041-918","12:10"
"#88012-305","12:40"
"#56072-928","12:55"
"#82570-320","15:25"
"#88669-270","15:35"
"#04534-033","15:40"
"#88669-270-2","15:50"
"#97295-052","16:00"
"#16072-513","17:30"
"#37662-409","17:45"
"#35918-659","17:55"
"#11098-374","20:00"
"#49282-358","10:55"
"#66147-809","12:48"
"#33306-198","13:36"
"#79239-200","13:43"
"#41687-144","14:30"
"#88044-577","15:05"
"#87197-054","15:09"
"#79567-865","16:48"
"#08227-030","20:24"
"#79965-693","10:10"
"#09813-851","10:35"
"#48402-898","12:14"
"#44476-314","12:55"
"#01298-210","15:05"
"#05619-147","14:20"
"#80895-106","14:27"
"38892-133","14:58"
"#31699-084","14:58"
"#09560-186","16:27"
"#78496-514","19:42"
"#47449-085","18:10"
"#38521-643","17:00"
"#09570-673","17:30"
"#65088-201","17:33"
"#25733-736","10:05"
"#87612-475","10:55"
"#19565-903","11:48"
"#10725-995","13:40"
"#16785-481","14:00"
"#88508-288","15:42"
"#28790-288","15:45"
"#36100-510","15:40"
"#40054-402","17:45"
"#10609-177","17:35"
"#10654-962","18:00"
"#13247-534","18:20"
"#81495-462","18:45"
"#85757-314","18:52"
"#87252-948","19:25"
"#65514-334","20:50"
"#12740-880","11:35"
"#04611-238","11:53"
"#76109-310","14:16"
"#66637-281","15:05"
"#08441-581","16:29"
"#21945-093","16:40"
"#82453-796","18:05"
"#49365-605","19:12"
"#21177-610","19:42"
"#87797-965","20:10"
"#03164-248","11:50"
"#52282-359","12:50"
"#96276-107","14:00"
"#91516-103","15:00"
"#76359-954","16:27"
"#67789-391","16:28"
"#36602-647","17:16"
"#01756-780","17:54"
"#20900-679","18:35"
"#41667-627","18:40"
"#04784-916","18:40"
"#94441-581","13:08"
"#82952-739","14:10"
"#09909-084","14:25"
"#48703-518","15:15"
"#83579-276","16:10"
"#81572-207","17:07"
"#93548-276","17:00"
"#55196-258","17:43"
"#12395-576","19:27"
"#39853-951","20:09"
"#22695-298","20:10"
"#28886-635","20:20"
"#52537-277","11:03"
"#63254-636","11:30"
"#07999-192","13:00"
"#79759-686","13:19"
"#73561-542","13:25"
"#12650-609","13:30"
"#95631-620","13:33"
"#65958-555","14:05"
"#56118-575","14:25"
"#71995-037","15:00"
"#29773-067","16:05"
"#53819-765","16:00"
"#76135-634","16:17"
"#17790-673","17:07"
"#60667-386","17:00"
"#14352-767","17:05"
"#61503-475","17:30"
"#76198-688","18:09"
"#31712-801","18:28"
"#06439-770","18:35"
"63576-842","19:13"
"#89202-840","20:40"
"#01496-513","11:15"
"#94511-439","11:40"
"#87287-863","13:50"
"#46548-409","13:40"
"#43130-095","15:08"
"#49127-662","18:10"
"#29650-835","18:30"
"#82477-728","18:55"
"#41800-400","19:20"
"#76739-154","20:15"
"#03432-325","20:05"
"#29092-068","10:25"
"#91666-290","10:40"
"#20226-682","12:05"
"#69837-113","13:15"
"#61895-938","15:00"
"#52203-622","15:05"
"#35257-826","15:55"
"#78316-989","16:39"
"#99833-211","16:40"
"#44383-908","18:20"
"#00930-630","20:30"
"#79253-192","21:10"
"#91092-300","14:38"
"#24899-518","16:37"
"#45649-432","17:00"
"#23607-649","18:05"
"#54352-727","19:40"
"#69838-316","20:00"
"#76553-810","13:25"
"#16929-454","14:20"
"#28086-301","15:30"
"#19719-377","15:35"
"#30260-684","15:35"
"#92473-273","16:05"
"#94950-781","18:45"
"#99259-560","19:00"
"#32275-276","19:35"
"#91018-610","20:00"
"#74071-416","12:08"
"#94641-506","13:00"
"#30065-400","13:30"
"#23263-548","15:34"
"#23668-079","15:38"
"#41537-897","15:48"
"#08147-673","17:00"
"#89215-279","17:00"
"#34441-589","21:10"
"#75619-520","13:31"
"#22176-010","14:00"
"#04361-909","14:07"
"#78281-528","15:00"
"#38895-957","15:40"
"#32597-786","16:10"
"#06994-743","16:12"
"#87512-476","17:05"
"#90151-038","17:20"
"#78732-398","18:49"
"#70257-909","19:39"
"#12728-844","19:30"
"#50332-597","20:30"
"#57637-186","20:38"
"#69635-539","10:40"
"#36467-801","11:13"
"#11676-440","11:35"
"#38382-720","14:08"
"#12003-504","14:55"
"#45861-154","15:20"
"#83300-274","17:35"
"#72132-032","18:05"
"#61412-627","19:05"
"#06682-886","19:50"
"#99982-943","13:17"
"#50818-004","13:58"
"#21097-918","15:45"
"#89857-022","19:45"
"#36440-628","20:30"
"#90229-815","21:03"
"#19605-085","10:15"
"#44574-127","10:21"
"#78706-111","10:30"
"#33869-848","12:12"
"#94758-330","13:46"
"#39265-799","14:10"
"#05847-386","15:04"
"#83551-348","15:30"
"#28354-193","15:55"
"#86502-603","16:39"
"#79519-783","17:17"
"#40676-202","19:10"
"#26647-974","10:30"
"#40816-940","11:20"
"#29153-974","11:30"
"#46304-581","15:20"
"#14283-700","15:50"
"#27354-598","16:40"
"#02992-657","17:24"
"#01179-260","17:57"
"#40222-264","19:00"
"#38666-322","10:22"
"#52796-477","14:25"
"#49947-259","14:45"
"#11968-238","14:58"
"#22300-893","15:30"
"#01935-581","17:00"
"#00789-168","17:05"
"#83774-754","17:11"
"#47541-196","19:00"
"#64188-632","19:08"
"#41506-135","19:37"
"#40564-936","19:57"
