"receipt_no","sale_time"
"#78699-922","20:32"
"#61852-578","10:25"
"#75957-348","11:05"
"#73685-936","14:30"
"#75593-155","15:50"
"#74996-749","18:45"
"#52427-713","19:40"
"#61800-195","20:10"
"#53160-881","21:00"
"#67741-100","21:15"
"#71547-570","10:30"
"#01272-990","11:45"
"#07371-994","11:50"
"#81309-690","13:45"
"#03710-765","15:08"
"#25764-630","15:30"
"#00764-889","15:30"
"#56452-275","15:30"
"#23113-968","16:00"
"#93922-459","17:25"
"#67472-801","17:45"
"#62554-094","20:34"
"#00184-754","20:52"
"#71179-217","12:09"
"#53533-478","13:35"
"#79770-418","13:35"
"#33766-568","14:40"
"#48969-943","15:50"
"#59670-252","15:15"
"#52446-722","16:00"
"#03832-650","16:30"
"#67678-186","16:40"
"#77678-043","17:38"
"#96289-586","18:08"
"#09658-459","18:10"
"#80100-243","18:16"
"#00421-514","18:36"
"#46900-485","19:39"
"#03479-491","20:06"
"#39812-066","21:00"
"#86575-065","11:54"
"#05167-141","12:05"
"#08975-389","12:33"
"#07053-655","12:45"
"#42405-916","13:10"
"#18029-381","14:00"
"#51051-553","14:00"
"#00887-449","14:33"
"#52580-350","15:07"
"#96978-177","15:07"
"#16730-866","16:15"
"#65610-981","16:16"
"#83956-886","16:23"
"#62454-037","17:30"
"#06470-815","19:05"
"#95456-202","18:05"
"#38517-787","18:10"
"#54686-973","19:40"
"#38170-067","10:00"
"#68127-701","10:30"
"#30730-715","11:05"
"#88211-708","11:35"
"#06596-465","13:05"
"#40512-806","13:30"
"#12881-852","14:25"
"#69565-503","15:08"
"#17195-294","15:49"
"#18746-253","15:34"
"#52827-837","18:12"
"#49587-606","19:18"
"#58132-790","20:15"
"#08998-429","10:10"
"#00278-240","11:45"
"#80021-097","12:12"
"#64798-620","13:00"
"#51334-437","14:00"
"#89031-030","14:28"
"#84177-258","14:46"
"#08954-116","15:02"
"#69065-146","15:15"
"#26591-087","17:33"
"#41304-979","19:55"
"#72689-491","19:55"
"#02222-364","20:45"
"#40011-775","10:00"
"#02776-490","11:06"
"#32886-663","15:26"
"#07862-384","17:06"
"#32903-564","17:42"
"#44866-064","19:28"
"#32732-805","19:29"
"#87106-952","20:07"
"#77292-627","10:15"
"#43993-276","10:30"
"#67579-359","11:33"
"#56350-828","11:50"
"#04171-281","12:20"
"#92443-828","13:39"
"#02399-716","13:50"
"#03376-601","14:27"
"#89272-101","16:09"
"#89533-416","16:27"
"#64930-008","16:52"
"#88106-197","17:25"
"#57382-147","17:30"
"#32604-129","19:10"
"#41348-264","19:10"
"#10991-085","19:25"
"#98513-360","19:35"
"#71760-403","20:12"
"#79943-886","10:12"
"#35710-155","11:13"
"#54384-487","11:47"
"#63433-186","14:58"
"#63306-277","15:05"
"#93539-943","15:25"
"#56353-692","16:55"
"#84069-774","17:04"
"#91555-456","17:04"
"#75939-064","18:25"
"#54232-099","19:05"
"#49988-789","19:30"
"#69966-352","19:45"
"#55745-083","10:15"
"#88808-961","10:50"
"#11821-971","12:00"
"#42696-983","13:10"
"#09668-795","13:20"
"#77045-214","14:25"
"#96058-041","14:31"
"#18255-266","14:47"
"#58887-351","15:40"
"#08060-261","16:00"
"#32873-455","16:30"
"#84537-947","17:06"
"#59207-541","17:48"
"#77319-088","18:10"
"#69355-294","19:03"
"#45953-950","18:30"
"#47274-211","19:33"
"#10328-927","19:33"
"#36136-857","20:20"
"#87155-363","12:20"
"#81602-469","12:40"
"#97405-096","14:40"
"#09819-514","14:49"
"#37385-408","15:15"
"#72377-840","15:54"
"#90110-981","16:13"
"#14086-601","18:00"
"#39323-876","18:00"
"#92693-934","19:50"
"#35507-058","21:00"
"#98543-747","21:00"
"#16007-781","10:15"
"#19172-921","11:30"
"#95768-597","12:33"
"#78769-622","14:18"
"#92654-978","15:38"
"#75621-622","16:00"
"#01162-108","14:43"
"#10033-499","17:02"
"#47689-555","17:06"
"#68250-147","18:00"
"#83927-648","18:30"
"#63347-581","19:40"
"#31801-507","13:30"
"#36440-259","10:30"
"#48824-544","15:05"
"#48858-615","16:05"
"#37400-777","20:00"
"#11990-404","20:32"
"#86825-591","21:00"
"#02861-092","10:07"
"#19888-522","10:15"
"#30979-291","10:20"
"#13338-811","11:15"
"#69925-837","11:30"
"#14192-337","13:30"
"#25254-846","13:15"
"#11948-130","13:35"
"#98849-146","14:44"
"#13761-197","15:40"
"#60656-384","16:21"
"#42678-253","18:20"
"#79790-924","19:04"
"#87720-810","19:05"
"#69523-327","19:36"
"#48980-271","20:00"
"#73493-045","20:00"
"#76944-530","20:30"
"#00697-950","10:41"
"#27955-783","11:21"
"#79999-848","11:31"
"#78882-256","11:58"
"#77483-753","13:53"
"#28964-554","14:00"
"#87554-754","14:50"
"#50943-651","15:18"
"#55732-052","17:00"
"#08626-392","17:12"
"#61217-971","19:16"
"#44872-708","20:10"
"#32132-972","20:57"
"#91025-228","10:20"
"#39311-153","12:35"
"#95821-162","13:55"
"#02930-637","14:25"
"#97323-963","14:28"
"#87711-070","16:20"
"#54831-781","17:05"
"#57673-432","17:10"
"#16684-850","17:15"
"#35991-049","17:41"
"#88413-268","17:57"
"#63131-290","19:41"
"#64669-585","20:15"
"#22748-411","20:30"
"#96845-869","10:15"
"#75105-441","11:30"
"#03516-895","12:00"
"#98709-990","15:05"
"#26613-097","15:10"
"#45809-324","15:31"
"#68940-459","16:40"
"#16437-925","16:45"
"#05696-709","17:44"
"#35744-352","18:00"
"#41182-144","19:04"
"#27995-740","19:10"
"#51924-280","20:03"
"#53802-900","20:40"
"#19746-430","20:54"
"#77064-140","10:33"
"#72276-365","12:00"
"#45485-392","13:16"
"#97287-116","13:38"
"#99660-414","13:54"
"#90617-010","14:21"
"#44352-037","14:53"
"#94668-159","15:12"
"#40390-148","16:00"
"#31057-253","17:00"
"#87543-069","16:25"
"#77918-997","17:55"
"#25697-588","18:55"
"#11344-027","19:10"
"#42536-244","19:35"
"#16081-775","20:15"
"#53851-687","10:35"
"#76497-886","14:20"
"#99226-517","16:00"
"#54101-267","17:15"
"#94986-667","18:35"
"#20401-011","18:55"
"#45288-625","19:00"
"#89952-683","19:30"
"#22981-027","20:00"
"#74016-288","10:11"
"#73944-069","10:11"
"#17300-766","10:37"
"#83308-035","11:24"
"#29115-608","11:45"
"#91588-406","13:41"
"#64200-884","15:00"
"#00884-737","15:12"
"#49211-835","15:44"
"#95270-422","17:44"
"#95294-658","18:05"
"#85506-763","18:54"
"#12539-563","10:30"
"#51246-017","11:05"
"#43702-998","11:10"
"#35906-039","11:20"
"#81494-052","11:35"
"#03872-541","11:00"
"#01295-656","14:01"
"#47870-622","14:58"
"#38494-863","16:00"
"#62641-275","16:10"
"#15381-907","19:22"
"#30324-175","19:50"
"#97527-455","20:00"
"#69327-021","20:00"
"#34554-855","10:40"
"#94425-303","12:20"
"#00350-181","13:16"
"#36816-566","13:20"
"#44521-158","15:40"
"#90704-406","16:00"
"#69971-875","19:05"
"#91539-419","20:38"
"#67977-629","10:50"
"#29254-174","12:40"
"#03660-635","12:51"
"#66923-112","14:49"
"#28586-761","13:27"
"#87574-007","15:30"
"#93664-339","16:13"
"#32792-749","16:22"
"#46269-091","16:30"
"#36498-224","17:23"
"#40972-634","17:24"
"#78562-351","18:51"
"#79576-143","19:30"
"#50482-079","20:00"
"#68305-962","14:22"
"#81605-332","20:48"
"#61184-506","10:35"
"#03727-651","12:35"
"#85019-820","13:20"
"#45947-172","13:47"
"#01913-563","14:02"
"#90728-621","14:20"
"#46989-840","14:55"
"#68567-436","15:10"
"#27097-757","15:30"
"#27874-898","16:50"
"#14987-866","18:00"
"#45535-516","18:00"
"70846-193","19:00"
"#47764-561","19:30"
"#78124-157","21:00"
"#70666-377","10:10"
"#78198-388","10:20"
"#98047-054","11:54"
"#98047-054-2","11:58"
"#55091-575","13:00"
"#93506-810","13:05"
"#64195-841","14:25"
"#12900-925","14:31"
"#38432-578","15:30"
"#49269-021","15:30"
"#49469-928","16:20"
"#23809-450","16:42"
"#20488-239","16:12"
"#93003-293","17:30"
"#83354-797","17:30"
"#53841-233","17:45"
"#79345-988","18:10"
"#42601-927","18:55"
"#86207-341","20:00"
"#30206-448","20:00"
"#87171-408","20:00"
"#17217-247","20:00"
"#93544-844","19:45"
"#60856-441","11:20"
"#54098-382","15:20"
"#14588-475","16:10"
"#67107-365","16:30"
"#49009-009","16:30"
"#16327-568","18:15"
"#17461-912","19:40"
"#93274-809","19:50"
"#06016-728","20:05"
"#92183-159","10:17"
"#15302-297","12:00"
"#27291-463","12:08"
"#66611-363","14:30"
"#44972-414","15:13"
"#53412-734","17:45"
"#49481-391","18:21"
"#61527-045","18:33"
"#39309-238","18:50"
"#13145-280","19:25"
"#88802-458","10:55"
"#55258-363","11:35"
"#01066-900","13:30"
"#53611-029","13:40"
"#20217-438","14:40"
"#58915-787","15:31"
"#99308-210","16:10"
"#86472-227","18:15"
"#66826-547","19:35"
"#26189-363","20:00"
"#43573-456","11:40"
"#37305-677","13:03"
"#61431-592","15:35"
"#05648-309","15:57"
"#71678-888","18:25"
"#11221-465","19:54"
"#38639-774","10:40"
"#65652-134","10:35"
"#09913-386","14:35"
"#05838-903","15:17"
"#62467-594","15:45"
"#88802-453","16:57"
"#03700-287","17:03"
"#17325-990","18:28"
"#17668-813","19:08"
"#12746-368","19:36"
"#65380-541","20:40"
"#84940-290","10:35"
"#30713-978","16:00"
"#87887-048","14:05"
"#52160-227","14:10"
"#54625-082","14:15"
"#45679-814","16:30"
"#91059-507","17:05"
"#95661-994","18:00"
"#47561-743","17:40"
"#70277-588","18:20"
"#11073-107","19:10"
"#23531-498","19:15"
"#89112-357","20:00"
"#86689-089","21:00"
"#41378-985","19:40"
"#32711-648","10:07"
"#64714-355","10:30"
"#28376-940","10:30"
"#90495-589","11:30"
"#96084-975","14:04"
"#24580-312","14:10"
"#47984-417","15:00"
"#95298-685","15:20"
"#65124-016","16:00"
"#45700-264","17:00"
"#17625-689","19:00"
"#19015-626","16:30"
"#67997-524","17:30"
"#11177-378","20:19"
"#59045-801","20:39"
"#65667-668","17:00"
